Label	Parent	Alternative Term	IEDB Term	Domain	In Taxon
Choriogonadotropin subunit beta (Homo sapiens)	protein	CG-beta|Chorionic gonadotrophin chain beta	Choriogonadotropin subunit beta	protein	Homo sapiens
Chromodomain-helicase-DNA-binding protein 1-like (Homo sapiens)	protein	Chromodomain helicase DNA binding protein 1 like	Chromodomain-helicase-DNA-binding protein 1-like	protein	Homo sapiens
chromogranin-A (Homo sapiens)	protein	chromogranin A	chromogranin-A	protein	Homo sapiens
chromosome 19 open reading frame 48 (Homo sapiens)	protein	C19orf48	chromosome 19 open reading frame 48	protein	Homo sapiens
Circumsporozoite (Plasmodium falciparum)	protein		Circumsporozoite	protein	Plasmodium falciparum
Circumsporozoite (CS) protein (Plasmodium knowlesi)	protein		Circumsporozoite (CS) protein	protein	Plasmodium knowlesi
Circumsporozoite protein (Plasmodium berghei)	protein	CS	Circumsporozoite protein	protein	Plasmodium berghei
Circumsporozoite protein (Plasmodium yoelii)	protein	CS	Circumsporozoite protein	protein	Plasmodium yoelii
Circumsporozoite protein, putative (Plasmodium vivax)	protein		Circumsporozoite protein, putative	protein	Plasmodium vivax
Circumsporozoite-related antigen (Plasmodium falciparum)	protein		Circumsporozoite-related antigen	protein	Plasmodium falciparum
Citrate lyase beta like (Homo sapiens)	protein	citrate lyase subunit beta-like protein	Citrate lyase beta like	protein	Homo sapiens
class I major histocompatibility antigen H-2Kb (Mus musculus)	protein		class I major histocompatibility antigen H-2Kb	protein	Mus musculus
class I major histocompatibility antigen H-2Kd (Mus musculus)	protein		class I major histocompatibility antigen H-2Kd	protein	Mus musculus
Clostridium Neurotoxin Type B (Clostridium botulinum)	protein	BontB	Clostridium Neurotoxin Type B	protein	Clostridium botulinum
Clusterin (Mus musculus)	protein	Apo-J|Apolipoprotein J|Clustrin|SGP-2|Sulfated glycoprotein 2	Clusterin	protein	Mus musculus
Coagulation factor IX (Homo sapiens)	protein	Christmas factor|PTC|Plasma thromboplastin component	Coagulation factor IX	protein	Homo sapiens
Coagulation factor VIII (Homo sapiens)	protein	AHF|Antihemophilic factor|Procoagulant component	Coagulation factor VIII	protein	Homo sapiens
Coat protein (Escherichia virus MS2)	protein		Coat protein	protein	Escherichia virus MS2
Collagen alpha 1(II) chain precursor (Homo sapiens)	protein	COL2A1	Collagen alpha 1(II) chain precursor	protein	Homo sapiens
collagen alpha-1(I) chain precursor (Mus musculus)	protein		collagen alpha-1(I) chain precursor	protein	Mus musculus
Collagen alpha-1(II) chain (Bos taurus)	protein	Alpha-1 type II collagen	Collagen alpha-1(II) chain	protein	Bos taurus
Collagen alpha-1(II) chain (Gallus gallus)	protein	Alpha-1 type II collagen	Collagen alpha-1(II) chain	protein	Gallus gallus
Collagen alpha-1(II) chain (Mus musculus)	protein	Alpha-1 type II collagen	Collagen alpha-1(II) chain	protein	Mus musculus
Collagen alpha-1(II) chain (Rattus norvegicus)	protein	Alpha-1 type II collagen	Collagen alpha-1(II) chain	protein	Rattus norvegicus
Collagen alpha-1(IV) chain (Bos taurus)	protein		Collagen alpha-1(IV) chain	protein	Bos taurus
Collagen alpha-1(IV) chain (Homo sapiens)	protein		Collagen alpha-1(IV) chain	protein	Homo sapiens
Collagen alpha-1(VII) chain (Mus musculus)	protein		Collagen alpha-1(VII) chain	protein	Mus musculus
Collagen alpha-1(XI) chain (Homo sapiens)	protein		Collagen alpha-1(XI) chain	protein	Homo sapiens
Collagen alpha-1(XVI) chain (Homo sapiens)	protein		Collagen alpha-1(XVI) chain	protein	Homo sapiens
Collagen alpha-2(IV) chain (Bos taurus)	protein		Collagen alpha-2(IV) chain	protein	Bos taurus
Collagen alpha-3(IV) chain (Homo sapiens)	protein	Goodpasture antigen	Collagen alpha-3(IV) chain	protein	Homo sapiens
Collagen alpha-3(IX) chain (Gallus gallus)	protein		Collagen alpha-3(IX) chain	protein	Gallus gallus
collagen alpha-3(VI) chain (Equus przewalskii)	protein		collagen alpha-3(VI) chain	protein	Equus przewalskii
collagen alpha-3(VI) chain (Mus musculus)	protein		collagen alpha-3(VI) chain	protein	Mus musculus
collagen, type XV, alpha 1 (Homo sapiens)	protein		collagen, type XV, alpha 1	protein	Homo sapiens
colony stimulating factor 3 receptor (Homo sapiens)	protein		colony stimulating factor 3 receptor	protein	Homo sapiens
complement cytolysis inhibitor (Mus musculus)	protein	C cyto inh	complement cytolysis inhibitor	protein	Mus musculus
complement factor B (Mus musculus)	protein		complement factor B	protein	Mus musculus
Concholepas concholepas hemocyanin (Concholepas concholepas)	protein	Blue carrrie protein|CCH	Concholepas concholepas hemocyanin	protein	Concholepas concholepas
Conserved domain protein (Coxiella burnetii)	protein		Conserved domain protein	protein	Coxiella burnetii
CONSERVED HYPOTHETICAL PROTEIN (Mycobacterium)	protein		CONSERVED HYPOTHETICAL PROTEIN	protein	Mycobacterium
conserved Plasmodium protein (Plasmodium berghei)	protein		conserved Plasmodium protein	protein	Plasmodium berghei
conserved Plasmodium protein, unknown function (Plasmodium falciparum)	protein	PFE0230w	conserved Plasmodium protein, unknown function	protein	Plasmodium falciparum
Core phosphoprotein F17 (Vaccinia virus)	protein		Core phosphoprotein F17	protein	Vaccinia virus
Core protein E11 (Vaccinia virus)	protein		Core protein E11	protein	Vaccinia virus
coronin-1A (Homo sapiens)	protein		coronin-1A	protein	Homo sapiens
Cruzipain (Trypanosoma cruzi)	protein	Cruzaine|Major cysteine proteinase	Cruzipain	protein	Trypanosoma cruzi
Cry3Aa (Bacillus thuringiensis)	protein	CryIIIAa	Cry3Aa	protein	Bacillus thuringiensis
cyclin g-associated kinase (Plasmodium berghei)	protein		cyclin g-associated kinase	protein	Plasmodium berghei
cyclin-dependent kinase 3 (Homo sapiens)	protein		cyclin-dependent kinase 3	protein	Homo sapiens
CYP51 (Hevea brasiliensis)	protein		CYP51	protein	Hevea brasiliensis
cysteine protease (Leishmania aethiopica)	protein		cysteine protease	protein	Leishmania aethiopica
Cysteine proteinase B (Leishmania amazonensis)	protein		Cysteine proteinase B	protein	Leishmania amazonensis
cytochrome b-c1 complex subunit 6, mitochondrial (Homo sapiens)	protein	UQCRH	cytochrome b-c1 complex subunit 6, mitochondrial	protein	Homo sapiens
Cytochrome c (Columba livia)	protein		Cytochrome c	protein	Columba livia
cytochrome c oxidase (Mus musculus)	protein		cytochrome c oxidase	protein	Mus musculus
cytochrome c oxidase I (Homo sapiens)	protein		cytochrome c oxidase I	protein	Homo sapiens
cytochrome c oxidase II (Homo sapiens)	protein		cytochrome c oxidase II	protein	Homo sapiens
Cytochrome c oxidase subunit 6C (Homo sapiens)	protein	Cytochrome c oxidase polypeptide VIc	Cytochrome c oxidase subunit 6C	protein	Homo sapiens
Cytochrome P450 2D6 (Homo sapiens)	protein	CYPIID6|Cytochrome P450-DB1|Debrisoquine 4-hydroxylase	Cytochrome P450 2D6	protein	Homo sapiens
cytokinin response 1 family protein (Populus trichocarpa)	protein		cytokinin response 1 family protein	protein	Populus trichocarpa
Cytoplasmic dynein 1 heavy chain 1 (Mus musculus)	protein	Cytoplasmic dynein heavy chain 1|Dynein heavy chain|cytosolic	Cytoplasmic dynein 1 heavy chain 1	protein	Mus musculus
DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked, isoform CRA_a (Homo sapiens)	protein	DBY	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked, isoform CRA_a	protein	Homo sapiens
DEAD/DEAH box helicase (Plasmodium berghei)	protein		DEAD/DEAH box helicase	protein	Plasmodium berghei
DEAD/H box polypeptide 11 like 12 (Homo sapiens)	protein		DEAD/H box polypeptide 11 like 12	protein	Homo sapiens
dedicator of cytokinesis 6 (Homo sapiens)	protein		dedicator of cytokinesis 6	protein	Homo sapiens
dedicator of cytokinesis protein 2 (Homo sapiens)	protein		dedicator of cytokinesis protein 2	protein	Homo sapiens
Dedicator of cytokinesis protein 9 (Homo sapiens)	protein	DOCK9	Dedicator of cytokinesis protein 9	protein	Homo sapiens
Deneddylase (Human betaherpesvirus 5)	protein	LTP|Large tegument protein	Deneddylase	protein	Human betaherpesvirus 5
DENND3 protein (Homo sapiens)	protein	DENN/MADD domain containing 3	DENND3 protein	protein	Homo sapiens
Dense granule protein 1 (Toxoplasma gondii)	protein	Major antigen p24|Protein GRA 1	Dense granule protein 1	protein	Toxoplasma gondii
deoxyribonuclease I-like 1 (Homo sapiens)	protein		deoxyribonuclease I-like 1	protein	Homo sapiens
Der f 16 allergen (Dermatophagoides farinae)	protein		Der f 16 allergen	protein	Dermatophagoides farinae
Der f 3 allergen (Dermatophagoides farinae)	protein		Der f 3 allergen	protein	Dermatophagoides farinae
Der f Alt a 10 allergen (Dermatophagoides farinae)	protein		Der f Alt a 10 allergen	protein	Dermatophagoides farinae
Der f Gal d 2 allergen (Dermatophagoides farinae)	protein		Der f Gal d 2 allergen	protein	Dermatophagoides farinae
Der P 1 (Dermatophagoides pteronyssinus)	protein	Allergen Der p I|Major mite fecal allergen Der p 1|Peptidase 1|major house dust allergen	Der P 1	protein	Dermatophagoides pteronyssinus
Der p 13 allergen (Dermatophagoides pteronyssinus)	protein		Der p 13 allergen	protein	Dermatophagoides pteronyssinus
Der p 5 (Dermatophagoides pteronyssinus)	protein	IgE-binding allergen	Der p 5	protein	Dermatophagoides pteronyssinus
Derf_c9409 (Dermatophagoides)	protein		Derf_c9409	protein	Dermatophagoides
dermal papilla derived protein 6 (Homo sapiens)	protein	DERP6	dermal papilla derived protein 6	protein	Homo sapiens
Dermokine-delta 4 (Homo sapiens)	protein	dermokine	Dermokine-delta 4	protein	Homo sapiens
Derp_19830 (Dermatophagoides)	protein		Derp_19830	protein	Dermatophagoides
Derp_c21462 (Dermatophagoides)	protein		Derp_c21462	protein	Dermatophagoides
Derp_c23425 (Dermatophagoides)	protein		Derp_c23425	protein	Dermatophagoides
Desmoglein-1 (Homo sapiens)	protein	Cadherin family member 4|DG1|DGI|Desmosomal glycoprotein 1|Pemphigus foliaceus antigen	Desmoglein-1	protein	Homo sapiens
Diacylglycerol acyltransferase/mycolyltransferase Ag85A (Mycobacterium tuberculosis variant bovis)	protein	85A|Acyl-CoA:diacylglycerol acyltransferase|Ag85A|Antigen 85 complex A|DGAT|Fbps A|Fibronectin-binding protein A	Diacylglycerol acyltransferase/mycolyltransferase Ag85A	protein	Mycobacterium tuberculosis variant bovis
Diacylglycerol acyltransferase/mycolyltransferase Ag85A (Mycobacterium tuberculosis)	protein	85A|Acyl-CoA:diacylglycerol acyltransferase|Ag85A|Antigen 85 complex A|DGAT|Fbps A|Fibronectin-binding protein A	Diacylglycerol acyltransferase/mycolyltransferase Ag85A	protein	Mycobacterium tuberculosis
Diacylglycerol acyltransferase/mycolyltransferase Ag85A (Mycobacterium tuberculosis variant bovis)	protein	DGAT|Acyl-CoA:diacylglycerol acyltransferase|Antigen 85 complex A|Fibronectin-binding protein A|85A|Ag85A|Fbps A	Diacylglycerol acyltransferase/mycolyltransferase Ag85A		Mycobacterium tuberculosis variant bovis
Diacylglycerol acyltransferase/mycolyltransferase Ag85B (Mycobacterium tuberculosis variant bovis)	protein	30 kDa extracellular protein|85B|Acyl-CoA:diacylglycerol acyltransferase|Ag85B|Antigen 85 complex B|DGAT|Extracellular alpha-antigen|Fbps B|Fibronectin-binding protein B	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	protein	Mycobacterium tuberculosis variant bovis
Diacylglycerol acyltransferase/mycolyltransferase Ag85B (Mycobacterium scrofulaceum)	protein	30 kDa extracellular protein|85B|Acyl-CoA:diacylglycerol acyltransferase|Ag85B|Antigen 85 complex B|DGAT|Extracellular alpha-antigen|Fbps B|Fibronectin-binding protein B	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	protein	Mycobacterium scrofulaceum
Diacylglycerol acyltransferase/mycolyltransferase Ag85B (Mycobacterium tuberculosis)	protein	30 kDa extracellular protein|85B|Acyl-CoA:diacylglycerol acyltransferase|Ag85B|Antigen 85 complex B|DGAT|Extracellular alpha-antigen|Fbps B|Fibronectin-binding protein B	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	protein	Mycobacterium tuberculosis
Diaminohydroxyphosphoribosylaminopyrimidine deaminase uracil reductase (Mycobacterium tuberculosis variant bovis)	protein		Diaminohydroxyphosphoribosylaminopyrimidine deaminase uracil reductase	protein	Mycobacterium tuberculosis variant bovis
Dihydrofolate reductase (Escherichia coli)	protein		Dihydrofolate reductase	protein	Escherichia coli
dihydrolipoamide succinyltransferase (Pseudomonas putida)	protein	PDC-E2	dihydrolipoamide succinyltransferase	protein	Pseudomonas putida
Dipeptidyl peptidase 1 (Homo sapiens)	protein	Cathepsin C|Cathepsin J|DPP-I|DPPI|Dipeptidyl peptidase I|Dipeptidyl transferase	Dipeptidyl peptidase 1	protein	Homo sapiens
Diphtheria toxin (Corynebacterium diphtheriae)	protein		Diphtheria toxin	protein	Corynebacterium diphtheriae
disintegrin and metalloproteinase with thrombospondin motifs 13 (Homo sapiens)	protein		disintegrin and metalloproteinase with thrombospondin motifs 13	protein	Homo sapiens
Disks large-associated protein 5 (Homo sapiens)	protein	DAP-5	Disks large-associated protein 5	protein	Homo sapiens
DNA helicase (Murid betaherpesvirus 1)	protein	MuHV1_gpM105	DNA helicase	protein	Murid betaherpesvirus 1
DNA helicase (Vaccinia virus)	protein		DNA helicase	protein	Vaccinia virus
DNA helicase INO80 (Mus musculus)	protein	INO80 complex subunit A	DNA helicase INO80	protein	Mus musculus
DNA packaging tegument protein UL25 (Human alphaherpesvirus 1)	protein		DNA packaging tegument protein UL25	protein	Human alphaherpesvirus 1
DNA packaging tegument protein UL25 (Human alphaherpesvirus 2)	protein		DNA packaging tegument protein UL25	protein	Human alphaherpesvirus 2
DNA packaging tegument protein UL25 (Human alphaherpesvirus 3)	protein		DNA packaging tegument protein UL25	protein	Human alphaherpesvirus 3
DNA polymerase (Vaccinia virus)	protein		DNA polymerase	protein	Vaccinia virus
DNA polymerase delta (Homo sapiens)	protein		DNA polymerase delta	protein	Homo sapiens
DNA polymerase III subunit gamma/tau (Salmonella enterica)	protein		DNA polymerase III subunit gamma/tau	protein	Salmonella enterica
DNA polymerase lambda (Homo sapiens)	protein	DNA polymerase beta-2|DNA polymerase kappa|Pol Lambda|Pol beta2	DNA polymerase lambda	protein	Homo sapiens
DNA polymerase processivity factor BMRF1 (Human gammaherpesvirus 4)	protein	EA-D|Early antigen protein D|Polymerase accessory subunit	DNA polymerase processivity factor BMRF1	protein	Human gammaherpesvirus 4
DNA polymerase processivity factor component A20 (Vaccinia virus)	protein		DNA polymerase processivity factor component A20	protein	Vaccinia virus
DNA polymerase processivity subunit (Human betaherpesvirus 6A)	protein	PP41|Phosphoprotein P41	DNA polymerase processivity subunit	protein	Human betaherpesvirus 6A
DNA processivity factor (Human betaherpesvirus 5)	protein		DNA processivity factor	protein	Human betaherpesvirus 5
DNA repair endonuclease (Plasmodium berghei)	protein		DNA repair endonuclease	protein	Plasmodium berghei
DNA replication licensing factor MCM5 (Homo sapiens)	protein		DNA replication licensing factor MCM5	protein	Homo sapiens
DNA topoisomerase I (Coxiella burnetii)	protein		DNA topoisomerase I	protein	Coxiella burnetii
DNA-binding protein, putative (Coxiella burnetii)	protein		DNA-binding protein, putative	protein	Coxiella burnetii
DNA-directed RNA polymerase 133 kDa polypeptide (Vaccinia virus)	protein		DNA-directed RNA polymerase 133 kDa polypeptide	protein	Vaccinia virus
DNA-directed RNA polymerase 147 kDa polypeptide (Vaccinia virus)	protein		DNA-directed RNA polymerase 147 kDa polypeptide	protein	Vaccinia virus
DNA-directed RNA polymerase 30 kDa polypeptide (Vaccinia virus)	protein		DNA-directed RNA polymerase 30 kDa polypeptide	protein	Vaccinia virus
DNA-directed RNA polymerase 35 kDa subunit (Vaccinia virus)	protein		DNA-directed RNA polymerase 35 kDa subunit	protein	Vaccinia virus
docking protein 2 (Homo sapiens)	protein		docking protein 2	protein	Homo sapiens
Drosocrystallin (Drosophila melanogaster)	protein		Drosocrystallin	protein	Drosophila melanogaster
dual specificity mitogen-activated protein kinase kinase 4 (Homo sapiens)	protein		dual specificity mitogen-activated protein kinase kinase 4	protein	Homo sapiens
dual specificity phosphatase 22 (Homo sapiens)	protein		dual specificity phosphatase 22	protein	Homo sapiens
dual specificity protein phosphatase 3 (Homo sapiens)	protein	DUSP3	dual specificity protein phosphatase 3	protein	Homo sapiens
Duffy receptor (Plasmodium vivax)	protein		Duffy receptor	protein	Plasmodium vivax
dynein (Homo sapiens)	protein		dynein	protein	Homo sapiens
E1A 26 kDa protein (Human adenovirus 5)	protein		E1A 26 kDa protein	protein	Human adenovirus 5
E2 protein (Western equine encephalitis virus)	protein		E2 protein	protein	Western equine encephalitis virus
E3 ubiquitin-protein ligase (Homo sapiens)	protein		E3 ubiquitin-protein ligase	protein	Homo sapiens
E4 (Mupapillomavirus 1)	protein		E4	protein	Mupapillomavirus 1
E4 protein (Human papillomavirus type 16)	protein		E4 protein	protein	Human papillomavirus type 16
Early E1A 32 kDa protein (Human adenovirus 2)	protein		Early E1A 32 kDa protein	protein	Human adenovirus 2
Early nuclear nonstructural protein (Murid betaherpesvirus 1)	protein	MuHV1_gpM84	Early nuclear nonstructural protein	protein	Murid betaherpesvirus 1
early phosphoprotein P34 (Human gammaherpesvirus 4)	protein		early phosphoprotein P34	protein	Human gammaherpesvirus 4
Early transcription factor 82 kDa subunit (Vaccinia virus)	protein	ETF large subunit|VETF A7 subunit|VETF large subunit|Vaccinia virus early transcription factor large subunit	Early transcription factor 82 kDa subunit	protein	Vaccinia virus
EBNA-1 (Human gammaherpesvirus 4)	protein		EBNA-1	protein	Human gammaherpesvirus 4
EBNA-3B (Human gammaherpesvirus 4)	protein		EBNA-3B	protein	Human gammaherpesvirus 4
EBNA-LP (Human gammaherpesvirus 4)	protein	HHV4tp2_gp05	EBNA-LP	protein	Human gammaherpesvirus 4
ecotropic viral integration site 2B (Homo sapiens)	protein		ecotropic viral integration site 2B	protein	Homo sapiens
Elongation factor 1-alpha 1 (Homo sapiens)	protein	EF-1-alpha-1|EF-Tu|Elongation factor Tu|Eukaryotic elongation factor 1 A-1|Leukocyte receptor cluster member 7|eEF1A-1	Elongation factor 1-alpha 1	protein	Homo sapiens
elongation factor 1-beta (Mus musculus)	protein		elongation factor 1-beta	protein	Mus musculus
Elongation factor 2 (Homo sapiens)	protein		Elongation factor 2	protein	Homo sapiens
Elongation factor Tu (Mycobacterium tuberculosis)	protein	EF-Tu	Elongation factor Tu	protein	Mycobacterium tuberculosis
elongation initiation factor 2 (Trypanosoma cruzi)	protein	ELIF2|eIF2	elongation initiation factor 2	protein	Trypanosoma cruzi
embryonic polyadenylate-binding protein 2 (Gallus gallus)	protein		embryonic polyadenylate-binding protein 2	protein	Gallus gallus
endoglucanase (Clostridium beijerinckii)	protein		endoglucanase	protein	Clostridium beijerinckii
endopeptidase (Plasmodium berghei)	protein		endopeptidase	protein	Plasmodium berghei
Endoplasmin (Homo sapiens)	protein	94 kDa glucose-regulated protein|GRP-94|Heat shock protein 90 kDa beta member 1|Tumor rejection antigen 1|gp96 homolog	Endoplasmin	protein	Homo sapiens
endorphin alpha,neo (Theromyzon tessulatum)	protein		endorphin alpha,neo	protein	Theromyzon tessulatum
Enhancer of filamentation 1 (Homo sapiens)	protein	hEF1	Enhancer of filamentation 1	protein	Homo sapiens
enolase (Blattella germanica)	protein		enolase	protein	Blattella germanica
Enterotoxin type A precursor (Staphylococcus aureus)	protein		Enterotoxin type A precursor	protein	Staphylococcus aureus
Env polyprotein (Feline leukemia virus)	protein		Env polyprotein	protein	Feline leukemia virus
env protein (Homo sapiens)	protein		env protein	protein	Homo sapiens
Env protein (Human endogenous retrovirus)	protein		Env protein	protein	Human endogenous retrovirus
envelope glycoprotein (Crimean-Congo hemorrhagic fever orthonairovirus)	protein		envelope glycoprotein	protein	Crimean-Congo hemorrhagic fever orthonairovirus
Envelope glycoprotein (Ebola virus)	protein	GP1,2	Envelope glycoprotein	protein	Ebola virus
envelope glycoprotein (Lymphocytic choriomeningitis mammarenavirus)	protein		envelope glycoprotein	protein	Lymphocytic choriomeningitis mammarenavirus
envelope glycoprotein (Porcine reproductive and respiratory syndrome virus)	protein		envelope glycoprotein	protein	Porcine reproductive and respiratory syndrome virus
Envelope glycoprotein B (Equid alphaherpesvirus 1)	protein	gB	Envelope glycoprotein B	protein	Equid alphaherpesvirus 1
Envelope glycoprotein B (Human alphaherpesvirus 1)	protein	gB-1|gB1	Envelope glycoprotein B	protein	Human alphaherpesvirus 1
envelope glycoprotein B (Human alphaherpesvirus 2)	protein		envelope glycoprotein B	protein	Human alphaherpesvirus 2
Envelope glycoprotein B (Human gammaherpesvirus 8)	protein	gB	Envelope glycoprotein B	protein	Human gammaherpesvirus 8
envelope glycoprotein C (Bovine alphaherpesvirus 5)	protein		envelope glycoprotein C	protein	Bovine alphaherpesvirus 5
Envelope glycoprotein D (Human alphaherpesvirus 1)	protein		Envelope glycoprotein D	protein	Human alphaherpesvirus 1
Envelope glycoprotein D (Human alphaherpesvirus 2)	protein		Envelope glycoprotein D	protein	Human alphaherpesvirus 2
envelope glycoprotein E (Human alphaherpesvirus 1)	protein		envelope glycoprotein E	protein	Human alphaherpesvirus 1
envelope glycoprotein E (Human alphaherpesvirus 2)	protein		envelope glycoprotein E	protein	Human alphaherpesvirus 2
Envelope glycoprotein gp160 (Human immunodeficiency virus 1)	protein	Env polyprotein	Envelope glycoprotein gp160	protein	Human immunodeficiency virus 1
Envelope glycoprotein gp160 (Simian immunodeficiency virus)	protein	Env polyprotein	Envelope glycoprotein gp160	protein	Simian immunodeficiency virus
Envelope glycoprotein gp62 (Human T-cell leukemia virus type I)	protein	Env polyprotein	Envelope glycoprotein gp62	protein	Human T-cell leukemia virus type I
Envelope glycoprotein gp63 (Human T-lymphotropic virus 2)	protein	Env polyprotein	Envelope glycoprotein gp63	protein	Human T-lymphotropic virus 2
Envelope glycoprotein gp70 (Mouse mammary tumor virus)	protein	Env polyprotein	Envelope glycoprotein gp70	protein	Mouse mammary tumor virus
Envelope glycoprotein H (Human alphaherpesvirus 2)	protein		Envelope glycoprotein H	protein	Human alphaherpesvirus 2
envelope glycoprotein Q (Human betaherpesvirus 7)	protein		envelope glycoprotein Q	protein	Human betaherpesvirus 7
envelope glycoprotein UL4 (Human betaherpesvirus 5)	protein	HHV5wtgp010,UL4	envelope glycoprotein UL4	protein	Human betaherpesvirus 5
envelope polyprotein (Caprine arthritis encephalitis virus)	protein		envelope polyprotein	protein	Caprine arthritis encephalitis virus
envelope polyprotein [Feline immunodeficiency virus] (Feline immunodeficiency virus)	protein		envelope polyprotein [Feline immunodeficiency virus]	protein	Feline immunodeficiency virus
Envelope small membrane protein (Severe acute respiratory syndrome-related coronavirus)	protein	E protein|sM protein	Envelope small membrane protein	protein	Severe acute respiratory syndrome-related coronavirus
ephrin type-A receptor 3 (Homo sapiens)	protein	EPH receptor A3	ephrin type-A receptor 3	protein	Homo sapiens
Epidermal growth factor receptor (Homo sapiens)	protein	Proto-oncogene c-ErbB-1|Receptor tyrosine-protein kinase erbB-1	Epidermal growth factor receptor	protein	Homo sapiens
epoxide hydrolase 1, microsomal (Homo sapiens)	protein		epoxide hydrolase 1, microsomal	protein	Homo sapiens
epsilon toxin (Clostridium perfringens)	protein	epsilon-toxin	epsilon toxin	protein	Clostridium perfringens
Epstein-Barr nuclear antigen 1 (Human gammaherpesvirus 4)	protein	EBNA-1|EBV nuclear antigen 1	Epstein-Barr nuclear antigen 1	protein	Human gammaherpesvirus 4
Epstein-Barr nuclear antigen 2 (Human gammaherpesvirus 4)	protein	EBNA2	Epstein-Barr nuclear antigen 2	protein	Human gammaherpesvirus 4
Epstein-Barr nuclear antigen 3 (Human gammaherpesvirus 4)	protein	EBNA-3|EBNA-3A|EBV nuclear antigen 3|EBV nuclear antigen 3A|Epstein-Barr nuclear antigen 3A	Epstein-Barr nuclear antigen 3	protein	Human gammaherpesvirus 4
Epstein-Barr nuclear antigen 4 (Human gammaherpesvirus 4)	protein	EBNA-3B|EBNA-4|EBV nuclear antigen 3B|EBV nuclear antigen 4|Epstein-Barr nuclear antigen 3B	Epstein-Barr nuclear antigen 4	protein	Human gammaherpesvirus 4
Epstein-Barr nuclear antigen 6 (Human gammaherpesvirus 4)	protein	EBNA-3C|EBNA-4B|EBNA-6|EBV nuclear antigen 3C|EBV nuclear antigen 4B|EBV nuclear antigen 6|Epstein-Barr nuclear antigen 3C|Epstein-Barr nuclear antigen 4B	Epstein-Barr nuclear antigen 6	protein	Human gammaherpesvirus 4
ERAP2 protein (Homo sapiens)	protein		ERAP2 protein	protein	Homo sapiens
Erythrocyte binding antigen (Plasmodium falciparum)	protein		Erythrocyte binding antigen	protein	Plasmodium falciparum
Erythrocyte membrane protein 1 (Plasmodium falciparum)	protein		Erythrocyte membrane protein 1	protein	Plasmodium falciparum
erythrocyte membrane protein 1 (Plasmodium falciparum)	protein	PfEMP1	erythrocyte membrane protein 1	protein	Plasmodium falciparum
Erythropoietin receptor (Homo sapiens)	protein	EPO-R	Erythropoietin receptor	protein	Homo sapiens
eukaryotic translation initiation factor 1 (Homo sapiens)	protein		eukaryotic translation initiation factor 1	protein	Homo sapiens
exo-1,3-beta glucanase (Pythium insidiosum)	protein		exo-1,3-beta glucanase	protein	Pythium insidiosum
Exopolysaccharide biosynthesis protein (Bifidobacterium breve)	protein		Exopolysaccharide biosynthesis protein	protein	Bifidobacterium breve
exotoxin A (Pseudomonas aeruginosa)	protein		exotoxin A	protein	Pseudomonas aeruginosa
External core antigen (Hepatitis B virus)	protein	HBeAg|Precore protein|p25	External core antigen	protein	Hepatitis B virus
Extracellular alkaline serine protease (Bacillus amyloliquefaciens)	protein		Extracellular alkaline serine protease	protein	Bacillus amyloliquefaciens
F protein (Hepacivirus C)	protein	ARFP/F|Alternate reading frame protein/F-protein|Frameshifted protein|p16|p17	F protein	protein	Hepacivirus C
F-actin-capping protein (Mus musculus)	protein		F-actin-capping protein	protein	Mus musculus
Fab heavy chain (Homo sapiens)	protein		Fab heavy chain	protein	Homo sapiens
Fab light chain (Homo sapiens)	protein		Fab light chain	protein	Homo sapiens
Fag e 1 (Fagopyrum esculentum)	protein	13S globulin seed storage protein 3|Legumin-like protein 3	Fag e 1	protein	Fagopyrum esculentum
FAS-associated factor 2 isoform X2 (Mus musculus)	protein		FAS-associated factor 2 isoform X2	protein	Mus musculus
FAST kinase domain-containing protein 2 (Homo sapiens)	protein	FAST kinase domain containing protein 2	FAST kinase domain-containing protein 2	protein	Homo sapiens
fatty acid binding protein (Dermatophagoides)	protein		fatty acid binding protein	protein	Dermatophagoides
Fatty acid binding protein (Schistosoma mansoni)	protein		Fatty acid binding protein	protein	Schistosoma mansoni
FBJ murine osteosarcoma viral oncogene homolog B protein (Homo sapiens)	protein		FBJ murine osteosarcoma viral oncogene homolog B protein	protein	Homo sapiens
ferric reductase (Escherichia coli)	protein		ferric reductase	protein	Escherichia coli
ferritin (Dermatophagoides farinae)	protein		ferritin	protein	Dermatophagoides farinae
fertilization antigen-1 (Homo sapiens)	protein	FA-1	fertilization antigen-1	protein	Homo sapiens
fetuin (Mus musculus)	protein		fetuin	protein	Mus musculus
fiber (Human mastadenovirus B)	protein		fiber	protein	Human mastadenovirus B
Fiber protein (Human adenovirus 2)	protein	Protein IV|SPIKE	Fiber protein	protein	Human adenovirus 2
Fibrinogen alpha chain (Homo sapiens)	protein		Fibrinogen alpha chain	protein	Homo sapiens
fibrinogen beta (Papio cynocephalus)	protein		fibrinogen beta	protein	Papio cynocephalus
Fibrinogen beta chain (Homo sapiens)	protein		Fibrinogen beta chain	protein	Homo sapiens
