:	label	type
NCBITaxon:28450	Burkholderia pseudomallei	owl:Class
NCBITaxon:2169993	Cali mammarenavirus	owl:Class
NCBITaxon:32019	Campylobacter fetus subsp. fetus	owl:Class
NCBITaxon:197	Campylobacter jejuni	owl:Class
NCBITaxon:32022	Campylobacter jejuni subsp. jejuni	owl:Class
NCBITaxon:360108	Campylobacter jejuni subsp. jejuni 260.94	owl:Class
NCBITaxon:5476	Candida albicans	owl:Class
NCBITaxon:5480	Candida parapsilosis	owl:Class
NCBITaxon:52253	Candida sojae	owl:Class
NCBITaxon:332162	Candidatus Solibacter	owl:Class
NCBITaxon:11232	Canine morbillivirus	owl:Class
NCBITaxon:10788	Canine parvovirus	owl:Class
NCBITaxon:246878	Canine parvovirus 2	owl:Class
NCBITaxon:9615	Canis lupus familiaris	owl:Class
NCBITaxon:9925	Capra hircus	owl:Class
NCBITaxon:11660	Caprine arthritis encephalitis virus	owl:Class
NCBITaxon:7957	Carassius auratus	owl:Class
NCBITaxon:10141	Cavia porcellus	owl:Class
NCBITaxon:33706	Caviid betaherpesvirus 2	owl:Class
NCBITaxon:38033	Chaetomium globosum	owl:Class
NCBITaxon:333745	Chaetonerius	owl:Class
NCBITaxon:13415	Chamaecyparis obtusa	owl:Class
NCBITaxon:37124	Chikungunya virus	owl:Class
NCBITaxon:310542	Chimpanzee adenovirus	owl:Class
NCBITaxon:83555	Chlamydia abortus	owl:Class
NCBITaxon:83558	Chlamydia pneumoniae	owl:Class
NCBITaxon:83554	Chlamydia psittaci	owl:Class
NCBITaxon:813	Chlamydia trachomatis	owl:Class
NCBITaxon:546	Citrobacter freundii	owl:Class
NCBITaxon:11096	Classical swine fever virus	owl:Class
NCBITaxon:358770	Classical swine fever virus isolates	owl:Class
NCBITaxon:1496	Clostridioides difficile	owl:Class
NCBITaxon:1520	Clostridium beijerinckii	owl:Class
NCBITaxon:1491	Clostridium botulinum	owl:Class
NCBITaxon:36826	Clostridium botulinum A	owl:Class
NCBITaxon:441771	Clostridium botulinum A str. Hall	owl:Class
NCBITaxon:36827	Clostridium botulinum B	owl:Class
NCBITaxon:36828	Clostridium botulinum C	owl:Class
NCBITaxon:36829	Clostridium botulinum D	owl:Class
NCBITaxon:36830	Clostridium botulinum E	owl:Class
NCBITaxon:36831	Clostridium botulinum F	owl:Class
NCBITaxon:1502	Clostridium perfringens	owl:Class
NCBITaxon:1513	Clostridium tetani	owl:Class
NCBITaxon:199306	Coccidioides posadasii	owl:Class
NCBITaxon:8932	Columba livia	owl:Class
NCBITaxon:137544	Concholepas concholepas	owl:Class
